session_id,session_len,warmup_optimal_games,fg_result_score,fg_pl,fg_rating_diff,fg_my_rating,fg_opp_rating,fg_time_of_day,fg_day_of_week,fg_phase,fg_rated_int,fg_num_blunders,fg_num_mistakes,fg_avg_move_time,hist_n_games,hist_mean_pl,hist_std_pl,hist_mean_result,hist_std_result,hist_mean_rating_diff,hist_mean_my_rating,hist_mean_opp_rating,hist_mean_blunders_lastN,hist_mean_mistakes_lastN,hist_mean_move_time_lastN,warmup_pred
1,31,5,1.0,1.0,-28.0,1849.0,1821.0,7.333333333333333,3.0,0.0,1,,,,12,0.0,1.0,0.5,0.5,6.833333333333333,1846.25,1853.0833333333333,,,,5.0001254
2,3,0,0.0,-1.0,7.0,1937.0,1944.0,9.316666666666666,3.0,0.0,1,,,,30,0.2,0.9797958971132714,0.6,0.4898979485566357,-5.7,1894.9,1889.2,,,,0.0004658407
3,10,2,0.0,-1.0,-13.0,1912.0,1899.0,10.516666666666667,3.0,0.0,1,,,,30,0.13333333333333333,0.9910712498212336,0.5666666666666667,0.4955356249106168,-6.6,1901.2,1894.6,,,,2.0003898
5,2,0,0.0,-1.0,-31.0,1893.0,1862.0,7.35,5.0,0.0,1,,,,30,-0.1,0.9780933834080807,0.45,0.48904669170404036,-0.16666666666666666,1914.5666666666666,1914.4,,,,0.0014030256
6,12,0,1.0,1.0,6.0,1880.0,1886.0,12.983333333333333,5.0,0.0,1,,,,30,-0.16666666666666666,0.9689627902499087,0.4166666666666667,0.4844813951249543,-4.433333333333334,1913.8,1909.3666666666666,,,,0.0007772947
7,11,3,0.0,-1.0,-6.0,1908.0,1902.0,5.3,1.0,0.0,1,,,,30,-0.13333333333333333,0.9568466729604881,0.43333333333333335,0.47842333648024404,-4.8,1906.1,1901.3,,,,2.9994438
8,8,0,1.0,1.0,0.0,1911.0,1911.0,8.35,1.0,0.0,1,,,,30,0.03333333333333333,0.9826268648655784,0.5166666666666667,0.4913134324327892,-10.166666666666666,1903.6,1893.4333333333334,,,,0.0039901785
13,14,1,0.0,-1.0,-1.0,1893.0,1892.0,10.066666666666666,5.0,0.0,1,,,,30,0.03333333333333333,0.9826268648655784,0.5166666666666667,0.4913134324327892,-8.966666666666667,1894.5333333333333,1885.5666666666666,,,,1.0011748
14,1,0,0.0,-1.0,19.0,1878.0,1897.0,12.433333333333334,5.0,0.0,1,,,,30,-0.1,0.9780933834080806,0.45,0.4890466917040403,-11.033333333333333,1901.4333333333334,1890.4,,,,-0.002073071
16,21,1,0.0,-1.0,0.0,1907.0,1907.0,13.15,6.0,0.0,1,,,,30,0.1,0.9780933834080806,0.55,0.4890466917040403,-9.366666666666667,1891.4333333333334,1882.0666666666666,,,,1.0018442
17,4,0,0.0,-1.0,-17.0,1888.0,1871.0,15.7,6.0,0.0,1,,,,30,0.03333333333333333,0.9480975102218595,0.5166666666666667,0.4740487551109297,-5.166666666666667,1908.6666666666667,1903.5,,,,0.00085320097
19,1,0,0.0,-1.0,28.0,1870.0,1898.0,10.1,1.0,0.0,1,,,,30,-0.2,0.9451631252505218,0.4,0.4725815626252609,-6.833333333333333,1900.5333333333333,1893.7,,,,0.0010830855
20,1,0,0.0,-1.0,-43.0,1865.0,1822.0,11.016666666666667,1.0,0.0,1,,,,30,-0.2,0.9451631252505218,0.4,0.4725815626252609,-5.9,1899.3,1893.4,,,,-0.00016275466
